dataset_id,arxiv_id,status,file_size_kb,file_path
starmpcc/Asclepius-Synthetic-Clinical-Notes,2309.00237,already_exists,815.501953125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\starmpcc_Asclepius-Synthetic-Clinical-Notes_2309.00237.pdf
maveriq/bigbenchhard,2210.09261,already_exists,5249.9423828125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\maveriq_bigbenchhard_2210.09261.pdf
OpenGVLab/VideoChat2-IT,2311.17005,already_exists,3854.595703125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\OpenGVLab_VideoChat2-IT_2311.17005.pdf
OpenGVLab/VideoChat2-IT,2305.06355,already_exists,2927.6435546875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\OpenGVLab_VideoChat2-IT_2305.06355.pdf
allenai/reward-bench,2403.13787,already_exists,1095.583984375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_reward-bench_2403.13787.pdf
allenai/reward-bench,2310.07641,already_exists,631.3671875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_reward-bench_2310.07641.pdf
allenai/reward-bench,2308.01263,already_exists,423.6455078125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_reward-bench_2308.01263.pdf
allenai/reward-bench,2308.07124,already_exists,2557.0322265625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\allenai_reward-bench_2308.07124.pdf
ikala/tmmluplus,2403.01858,already_exists,1853.3974609375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\ikala_tmmluplus_2403.01858.pdf
Itau-Unibanco/FAQ_BACEN,2311.11331,already_exists,587.19140625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Itau-Unibanco_FAQ_BACEN_2311.11331.pdf
math-ai/AutoMathText,2402.07625,already_exists,666.5966796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\math-ai_AutoMathText_2402.07625.pdf
zai-org/LongAlign-10k,2401.18058,already_exists,982.0869140625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zai-org_LongAlign-10k_2401.18058.pdf
tinyBenchmarks/tinyMMLU,2402.14992,already_exists,5303.3125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\tinyBenchmarks_tinyMMLU_2402.14992.pdf
m-a-p/Code-Feedback,2402.14658,already_exists,1742.6162109375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\m-a-p_Code-Feedback_2402.14658.pdf
chenxz/RareBench,2402.06341,already_exists,5308.1142578125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\chenxz_RareBench_2402.06341.pdf
FreedomIntelligence/ALLaVA-4V-Chinese,2402.11684,already_exists,1559.65234375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\FreedomIntelligence_ALLaVA-4V-Chinese_2402.11684.pdf
AI4Chem/ChemPref-DPO-for-Chemistry-data-en,2402.06852,already_exists,1405.294921875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\AI4Chem_ChemPref-DPO-for-Chemistry-data-en_2402.06852.pdf
nthakur/swim-ir-monolingual,2311.05800,already_exists,2716.08984375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\nthakur_swim-ir-monolingual_2311.05800.pdf
snap-stanford/stark,2404.13207,already_exists,1102.66796875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\snap-stanford_stark_2404.13207.pdf
UCSC-VLAA/MedTrinity-25M,2408.02900,already_exists,4034.5751953125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\UCSC-VLAA_MedTrinity-25M_2408.02900.pdf
AI4Sec/cti-bench,2406.07599,already_exists,3216.0009765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\AI4Sec_cti-bench_2406.07599.pdf
zwq2018/Multi-modal-Self-instruct,2407.07053,already_exists,4942.8037109375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\zwq2018_Multi-modal-Self-instruct_2407.07053.pdf
Hothan/OlympiadBench,2402.14008,already_exists,1058.0634765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Hothan_OlympiadBench_2402.14008.pdf
AssistantBench/AssistantBench,2407.15711,already_exists,3819.7001953125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\AssistantBench_AssistantBench_2407.15711.pdf
Sadanto3933/ai2_arc,1803.05457,already_exists,283.75390625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\Sadanto3933_ai2_arc_1803.05457.pdf
weaverbirdllm/famma,2410.04526,already_exists,1486.146484375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\weaverbirdllm_famma_2410.04526.pdf
yuecao0119/MMInstruct-GPT4V,2407.15838,already_exists,5237.7744140625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yuecao0119_MMInstruct-GPT4V_2407.15838.pdf
yuecao0119/MMInstruct-GPT4V,2212.02746,already_exists,725.0625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yuecao0119_MMInstruct-GPT4V_2212.02746.pdf
yuecao0119/MMInstruct-GPT4V,2105.04165,already_exists,1080.35546875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yuecao0119_MMInstruct-GPT4V_2105.04165.pdf
yuecao0119/MMInstruct-GPT4V,2208.05358,already_exists,3317.880859375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yuecao0119_MMInstruct-GPT4V_2208.05358.pdf
yuecao0119/MMInstruct-GPT4V,2209.14610,already_exists,2667.9326171875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yuecao0119_MMInstruct-GPT4V_2209.14610.pdf
yuecao0119/MMInstruct-GPT4V,1710.07300,already_exists,884.0546875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yuecao0119_MMInstruct-GPT4V_1710.07300.pdf
yuecao0119/MMInstruct-GPT4V,2211.08545,already_exists,653.4111328125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yuecao0119_MMInstruct-GPT4V_2211.08545.pdf
edinburgh-dawg/mmlu-redux-2.0,2502.03461,already_exists,2455.3857421875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\edinburgh-dawg_mmlu-redux-2.0_2502.03461.pdf
edinburgh-dawg/mmlu-redux-2.0,2406.04127,already_exists,730.3798828125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\edinburgh-dawg_mmlu-redux-2.0_2406.04127.pdf
yifanzhang114/MME-RealWorld,2408.13257,already_exists,27932.0224609375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\yifanzhang114_MME-RealWorld_2408.13257.pdf
google/frames-benchmark,2409.12941,success,1136.1142578125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\google_frames-benchmark_2409.12941.pdf
akoksal/muri-it,2409.12958,already_exists,1049.9697265625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\akoksal_muri-it_2409.12958.pdf
mllmTeam/MobileViews,2409.14337,already_exists,18148.7412109375,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\mllmTeam_MobileViews_2409.14337.pdf
donmaclean/LongMIT-128K,2409.01893,already_exists,1646.009765625,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\donmaclean_LongMIT-128K_2409.01893.pdf
parasail-ai/frames-benchmark-wikipedia,2409.12941,success,1136.1142578125,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\parasail-ai_frames-benchmark-wikipedia_2409.12941.pdf
jiang-cc/MMAD,2410.09453,already_exists,9544.935546875,C:\Users\annso\Research\BecnhAdvisor\data\arxiv_pdfs\jiang-cc_MMAD_2410.09453.pdf
