dataset_id,arxiv_id,abstract_url,pdf_url
AJN-AI/VoQA,2505.14227,https://arxiv.org/abs/2505.14227,https://arxiv.org/pdf/2505.14227.pdf
SAP/diaforge-utc-r-0725,2507.03336,https://arxiv.org/abs/2507.03336,https://arxiv.org/pdf/2507.03336.pdf
JierunChen/MathVista_with_difficulty_level,2507.07562,https://arxiv.org/abs/2507.07562,https://arxiv.org/pdf/2507.07562.pdf
MBZUAI/FiqhQA,2508.08287,https://arxiv.org/abs/2508.08287,https://arxiv.org/pdf/2508.08287.pdf
AIBench/EESE,2507.16514,https://arxiv.org/abs/2507.16514,https://arxiv.org/pdf/2507.16514.pdf
jablonkagroup/chempile-instruction,2505.12534,https://arxiv.org/abs/2505.12534,https://arxiv.org/pdf/2505.12534.pdf
Gnonymous/Web-CogDataset,2508.01858,https://arxiv.org/abs/2508.01858,https://arxiv.org/pdf/2508.01858.pdf
junfeng0288/MathReal,2508.06009,https://arxiv.org/abs/2508.06009,https://arxiv.org/pdf/2508.06009.pdf
Omartificial-Intelligence-Space/Arabic-gsm8k-v2,2110.14168,https://arxiv.org/abs/2110.14168,https://arxiv.org/pdf/2110.14168.pdf
UCLNLP/adversarial_qa,2002.00293,https://arxiv.org/abs/2002.00293,https://arxiv.org/pdf/2002.00293.pdf
UCLNLP/adversarial_qa,1606.05250,https://arxiv.org/abs/1606.05250,https://arxiv.org/pdf/1606.05250.pdf
allenai/ai2_arc,1803.05457,https://arxiv.org/abs/1803.05457,https://arxiv.org/pdf/1803.05457.pdf
deepmind/aqua_rat,1705.04146,https://arxiv.org/abs/1705.04146,https://arxiv.org/pdf/1705.04146.pdf
google-research-datasets/aquamuse,2010.12694,https://arxiv.org/abs/2010.12694,https://arxiv.org/pdf/2010.12694.pdf
dataset-org/c3,1904.09679,https://arxiv.org/abs/1904.09679,https://arxiv.org/pdf/1904.09679.pdf
cam-cst/cbt,1511.02301,https://arxiv.org/abs/1511.02301,https://arxiv.org/pdf/1511.02301.pdf
google-research-datasets/cfq,1912.09713,https://arxiv.org/abs/1912.09713,https://arxiv.org/pdf/1912.09713.pdf
jaredfern/codah,1904.04365,https://arxiv.org/abs/1904.04365,https://arxiv.org/pdf/1904.04365.pdf
